name, label, count
pink primrose, 1, 40
hard-leaved pocket orchid, 2, 60
canterbury bells, 3, 40
sweet pea, 4, 56
english marigold, 5, 65
tiger lily, 6, 45
moon orchid, 7, 40
bird of paradise, 8, 85
monkshood, 9, 46
globe thistle, 10, 45
snapdragon, 11, 87
colt's foot, 12, 87
king protea, 13, 49
spear thistle, 14, 48
yellow iris, 15, 49
globe-flower, 16, 41
purple coneflower, 17, 85
peruvian lily, 18, 82
balloon flower, 19, 49
giant white arum lily, 20, 56
fire lily, 21, 40
pincushion flower, 22, 59
fritillary, 23, 91
red ginger, 24, 42
grape hyacinth, 25, 41
corn poppy, 26, 41
prince of wales feathers, 27, 40
stemless gentian, 28, 66
artichoke, 29, 78
sweet william, 30, 85
carnation, 31, 52
garden phlox, 32, 45
love-in-a-mist, 33, 46
garden cosmos, 34, 40
alpine sea holly, 35, 43
ruby-lipped cattleya, 36, 75
cape flower, 37, 108
great masterwort, 38, 56
siam tulip, 39, 41
lenten rose, 40, 67
barbeton daisy, 41, 127
daffodil, 42, 59
sword lily, 43, 130
poinsettia, 44, 93
Texas bluebell, 45, 40
wallflower, 46, 196
marigold, 47, 67
buttercup, 48, 71
oxeye daisy, 49, 49
common dandelion, 50, 92
petunia, 51, 258
pansy, 52, 85
primula, 53, 93
sunflower, 54, 61
pelargonium, 55, 71
red dahlia, 56, 109
gaura, 57, 67
geranium, 58, 114
orange dahlia, 59, 67
dahlia pinnata, 60, 109
cautleya spicata, 61, 50
japanese anemone, 62, 55
black-eyed susan, 63, 54
silverbush, 64, 52
californian poppy, 65, 102
osteospermum, 66, 61
spring crocus, 67, 42
bearded iris, 68, 54
windflower, 69, 54
tree poppy, 70, 62
gazania, 71, 78
azalea, 72, 96
water lily, 73, 194
rose, 74, 171
thorn apple, 75, 120
morning glory, 76, 107
passion flower, 77, 251
lotus, 78, 137
toad lily, 79, 41
anthurium, 80, 105
frangipani, 81, 166
clematis, 82, 112
hibiscus, 83, 131
columbine, 84, 86
desert rose, 85, 63
tree mallow, 86, 58
magnolia, 87, 63
cyclamen, 88, 154
watercress, 89, 184
canna lily, 90, 82
hippeastrum, 91, 76
bee balm, 92, 66
pink quill, 93, 46
foxglove, 94, 162
bougainvillea, 95, 128
camellia, 96, 91
mallow, 97, 66
mexican petunia, 98, 82
bromelia, 99, 63
blanket flower, 100, 49
trumpet creeper, 101, 58
blackberry lily, 102, 48